Member_number,Date,productId,items,productName,price,Category,amount,Transactions_id,Year,Month,Cluster,ClusterName,Recency,Frequency,Monetary
1808,2015-07-21,1,3,tropical fruit,7.8,Fresh Food,23.4,2987,2015,7,5,Regular Customers,162,4,109.8
2552,2015-01-05,2,1,whole milk,1.8,Dairy,1.8,5780,2015,1,1,New Customers,359,5,119.52
2300,2015-09-19,3,3,pip fruit,3.0,Fresh Food,9.0,4851,2015,9,5,Regular Customers,102,4,107.3
1187,2015-12-12,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,688,2015,12,0,Loyal Customers,18,3,14.77
3037,2015-02-01,2,1,whole milk,1.8,Dairy,1.8,7585,2015,2,1,New Customers,310,2,21.1
4941,2015-02-14,5,1,rolls/buns,1.2,Bakery & Sweets,1.2,14767,2015,2,4,Potential Customers,319,9,194.04
4501,2015-05-08,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,13086,2015,5,4,Potential Customers,198,5,73.22
3803,2015-12-23,6,2,pot plants,3.5,Household & Hygiene,7.0,10456,2015,12,2,Diamond Customers,7,6,142.05
2762,2015-03-20,2,3,whole milk,1.8,Dairy,5.4,6580,2015,3,0,Loyal Customers,12,4,82.35
4119,2015-02-12,1,3,tropical fruit,7.8,Fresh Food,23.4,11596,2015,2,4,Potential Customers,235,4,91.8
1340,2015-02-24,7,3,citrus fruit,1.5,Fresh Food,4.5,1237,2015,2,0,Loyal Customers,42,6,82.7
2193,2015-04-14,8,3,beef,19.5,Fresh Food,58.5,4448,2015,4,2,Diamond Customers,91,11,361.45
1997,2015-07-21,9,1,frankfurter,5.5,Fresh Food,5.5,3707,2015,7,2,Diamond Customers,2,6,150.12
4546,2015-09-03,10,3,chicken,7.2,Fresh Food,21.6,13261,2015,9,5,Regular Customers,118,4,127.7
4736,2015-07-21,11,2,butter,3.2,Dairy,6.4,14006,2015,7,5,Regular Customers,162,4,122.6
1959,2015-03-30,12,1,fruit/vegetable juice,2.1,Beverages,2.1,3583,2015,3,2,Diamond Customers,17,7,160.6
1974,2015-05-03,13,2,packaged fruit/vegetables,3.5,Fresh Food,7.0,3633,2015,5,4,Potential Customers,241,1,76.6
2421,2015-09-02,14,2,chocolate,11.5,Bakery & Sweets,23.0,5281,2015,9,2,Diamond Customers,38,7,150.3
1513,2015-08-03,15,2,specialty bar,5.2,Bakery & Sweets,10.4,1888,2015,8,0,Loyal Customers,48,3,115.8
1905,2015-07-07,4,2,other vegetables,0.8,Fresh Food,1.6,3365,2015,7,2,Diamond Customers,73,9,253.51
2810,2015-09-08,16,1,butter milk,6.1,Dairy,6.1,6767,2015,9,2,Diamond Customers,0,6,171.4
2867,2015-11-12,2,1,whole milk,1.8,Dairy,1.8,6967,2015,11,0,Loyal Customers,7,5,98.22
3962,2015-09-18,1,2,tropical fruit,7.8,Fresh Food,15.6,11049,2015,9,5,Regular Customers,101,5,119.65
1088,2015-11-30,1,2,tropical fruit,7.8,Fresh Food,15.6,319,2015,11,0,Loyal Customers,30,3,58.75
4976,2015-07-17,17,1,bottled water,0.5,Beverages,0.5,14893,2015,7,5,Regular Customers,166,2,88.4
4056,2015-06-12,18,1,yogurt,2.2,Dairy,2.2,11355,2015,6,2,Diamond Customers,71,6,134.45
3611,2015-02-13,19,1,sausage,3.1,Fresh Food,3.1,9731,2015,2,1,New Customers,320,2,49.15
1420,2015-01-14,4,3,other vegetables,0.8,Fresh Food,2.4000000000000004,1525,2015,1,0,Loyal Customers,22,4,82.35
4286,2015-03-08,20,3,brown bread,0.8,Bakery & Sweets,2.4000000000000004,12263,2015,3,5,Regular Customers,109,4,79.8
4918,2015-01-27,18,3,yogurt,2.2,Dairy,6.6000000000000005,14678,2015,1,1,New Customers,337,1,17.7
4783,2015-10-22,21,2,hamburger meat,12.3,Fresh Food,24.6,14186,2015,10,2,Diamond Customers,69,7,190.16
3709,2015-10-26,22,3,root vegetables,1.8,Fresh Food,5.4,10091,2015,10,2,Diamond Customers,65,5,191.84
4289,2015-10-08,23,2,pork,7.2,Fresh Food,14.4,12275,2015,10,0,Loyal Customers,83,3,115.3
1559,2015-10-03,8,2,beef,19.5,Fresh Food,39.0,2032,2015,10,0,Loyal Customers,88,2,103.0
2900,2015-04-11,24,3,pastry,3.1,Bakery & Sweets,9.3,7076,2015,4,4,Potential Customers,263,4,72.72
1905,2015-02-21,12,2,fruit/vegetable juice,2.1,Beverages,4.2,3368,2015,2,2,Diamond Customers,73,9,253.51
3527,2015-09-29,25,3,canned beer,1.1,Beverages,3.3000000000000003,9399,2015,9,0,Loyal Customers,92,3,92.62
1495,2015-01-09,22,3,root vegetables,1.8,Fresh Food,5.4,1820,2015,1,1,New Customers,355,3,62.5
3558,2015-04-03,7,1,citrus fruit,1.5,Fresh Food,1.5,9516,2015,4,2,Diamond Customers,102,4,148.0
3128,2015-04-20,19,3,sausage,3.1,Fresh Food,9.3,7936,2015,4,5,Regular Customers,122,4,129.8
1863,2015-08-04,1,1,tropical fruit,7.8,Fresh Food,7.8,3193,2015,8,5,Regular Customers,148,4,110.6
3841,2015-07-19,26,3,berries,10.8,Fresh Food,32.400000000000006,10593,2015,7,5,Regular Customers,164,6,136.38
3903,2015-10-06,25,3,canned beer,1.1,Beverages,3.3000000000000003,10819,2015,10,2,Diamond Customers,85,6,125.4
2658,2015-10-16,16,1,butter milk,6.1,Dairy,6.1,6175,2015,10,0,Loyal Customers,75,2,26.9
4272,2015-06-06,27,1,coffee,8.5,Beverages,8.5,12207,2015,6,2,Diamond Customers,207,9,240.4
1120,2015-09-26,24,3,pastry,3.1,Bakery & Sweets,9.3,442,2015,9,2,Diamond Customers,95,6,144.39
2676,2015-08-15,5,2,rolls/buns,1.2,Bakery & Sweets,2.4,6244,2015,8,2,Diamond Customers,53,5,129.9
1697,2015-05-21,28,1,misc. beverages,1.2,Beverages,1.2,2551,2015,5,0,Loyal Customers,43,6,78.66
2507,2015-08-25,22,2,root vegetables,1.8,Fresh Food,3.6,5595,2015,8,0,Loyal Customers,0,4,125.6
4620,2015-03-11,19,2,sausage,3.1,Fresh Food,6.2,13530,2015,3,4,Potential Customers,294,3,60.36
3365,2015-02-01,25,2,canned beer,1.1,Beverages,2.2,8803,2015,2,0,Loyal Customers,66,6,86.75
2978,2015-06-05,29,1,ham,15.2,Fresh Food,15.2,7369,2015,6,2,Diamond Customers,35,5,133.3
2910,2015-07-28,30,2,turkey,12.5,Fresh Food,25.0,7119,2015,7,0,Loyal Customers,26,5,95.8
