Recency,Frequency,Monetary,Cluster,ClusterName
35,5,53.8,0,Loyal Customers
242,5,100.0,4,Potential Customers
122,4,70.3,5,Regular Customers
323,4,60.65,1,New Customers
28,8,204.96,2,Diamond Customers
706,2,24.0,3,Lost Customers
199,4,182.94,4,Potential Customers
88,2,155.9,2,Diamond Customers
86,4,48.75,0,Loyal Customers
152,5,89.36,5,Regular Customers
21,3,89.8,0,Loyal Customers
41,4,75.86,0,Loyal Customers
89,8,186.75,2,Diamond Customers
88,4,75.1,0,Loyal Customers
240,3,71.4,4,Potential Customers
86,4,104.7,0,Loyal Customers
91,5,75.49,0,Loyal Customers
221,4,94.6,4,Potential Customers
385,1,73.5,1,New Customers
78,3,73.84,0,Loyal Customers
53,3,53.4,0,Loyal Customers
571,3,117.5,3,Lost Customers
185,6,182.0,5,Regular Customers
142,1,58.2,5,Regular Customers
133,3,42.62,5,Regular Customers
216,5,111.95,4,Potential Customers
227,4,129.7,4,Potential Customers
172,5,107.6,5,Regular Customers
291,1,16.35,4,Potential Customers
76,3,64.6,0,Loyal Customers
129,5,96.46,5,Regular Customers
198,5,91.3,4,Potential Customers
596,3,83.05,3,Lost Customers
113,5,69.9,5,Regular Customers
709,1,10.8,3,Lost Customers
14,3,58.44,0,Loyal Customers
16,6,214.2,2,Diamond Customers
213,1,2.7,4,Potential Customers
34,4,48.1,0,Loyal Customers
272,4,113.75,4,Potential Customers
75,3,35.75,0,Loyal Customers
354,3,94.69,1,New Customers
66,2,25.4,0,Loyal Customers
35,3,98.9,0,Loyal Customers
189,2,16.7,5,Regular Customers
143,3,51.6,5,Regular Customers
73,2,23.8,0,Loyal Customers
116,4,62.3,5,Regular Customers
240,6,124.6,4,Potential Customers
50,6,207.36,2,Diamond Customers
64,10,267.5,2,Diamond Customers
174,6,80.7,5,Regular Customers
70,4,43.9,0,Loyal Customers
219,2,75.7,4,Potential Customers
51,3,58.2,0,Loyal Customers
570,3,32.15,3,Lost Customers
50,4,38.9,0,Loyal Customers
564,2,16.8,3,Lost Customers
116,5,149.1,2,Diamond Customers
103,5,129.32,2,Diamond Customers
341,2,8.1,1,New Customers
158,3,59.1,5,Regular Customers
47,6,225.4,2,Diamond Customers
566,3,19.92,3,Lost Customers
163,3,112.3,5,Regular Customers
182,2,20.7,5,Regular Customers
132,4,90.45,5,Regular Customers
420,2,66.4,1,New Customers
